category,avg_rating,review_count
digital_ebook_purchase,3.25,34275
luggage,3.25,13801
shoes,3.14,32347
kitchen,3.13,51220
book,3.11,90662
musical_instruments,3.09,6226
office_product,3.06,26410
baby_product,3.06,25071
camera,3.06,14899
apparel,3.05,57516
sports,3.04,65296
other,3.03,42078
furniture,3.03,19947
industrial_supplies,3.01,8187
home,3.0,125992
home_improvement,3.0,53430
toy,2.99,56863
jewelry,2.98,11771
personal_care_appliances,2.97,9939
pc,2.97,55447
drugstore,2.96,47628
automotive,2.96,41462
pet_products,2.95,26258
beauty,2.93,52604
electronics,2.93,44735
watch,2.91,10337
grocery,2.91,23664
video_games,2.89,8240
lawn_and_garden,2.86,24483
wireless,2.8,110377
digital_video_download,2.76,6818
