category,language,avg_rating,review_count
apparel,2026-06-01,3.16,98
apparel,de,3.01,10057
apparel,en,3.01,15715
apparel,es,2.87,5724
apparel,fr,2.96,5731
apparel,ja,3.02,8102
apparel,zh,3.26,11784
automotive,2026-06-01,2.86,43
automotive,de,2.95,5259
automotive,en,2.97,7418
automotive,es,2.95,7111
automotive,fr,2.95,5786
automotive,ja,3.02,13033
automotive,zh,2.81,2639
baby_product,2026-06-01,2.75,24
baby_product,de,3.11,4018
baby_product,en,3.11,3123
baby_product,es,3.09,4869
baby_product,fr,3.15,4862
baby_product,ja,3.18,1913
baby_product,zh,2.87,6164
beauty,2026-06-01,2.73,59
beauty,de,2.88,7070
beauty,en,2.9,12009
beauty,es,2.94,7319
beauty,fr,2.88,8171
beauty,ja,2.96,8410
beauty,zh,2.99,9387
book,2026-06-01,2.64,81
book,de,3.31,4818
book,en,3.35,3692
book,es,3.4,5220
book,fr,3.36,8092
book,ja,3.1,5552
book,zh,3.02,62952
camera,2026-06-01,2.39,28
camera,de,3.09,1863
camera,en,3.0,2113
camera,es,3.11,3011
camera,fr,3.15,2525
camera,ja,2.97,4369
camera,zh,3.21,906
digital_ebook_purchase,2026-06-01,3.29,77
digital_ebook_purchase,de,3.5,2626
digital_ebook_purchase,en,3.68,6616
digital_ebook_purchase,es,3.36,1822
digital_ebook_purchase,fr,3.47,1748
digital_ebook_purchase,ja,3.14,2206
digital_ebook_purchase,zh,3.04,18967
digital_video_download,2026-06-01,2.65,31
digital_video_download,de,2.84,2896
digital_video_download,en,2.86,1336
digital_video_download,ja,2.62,2485
drugstore,2026-06-01,2.81,78
drugstore,de,2.97,7964
drugstore,en,2.97,11615
drugstore,es,3.01,5486
drugstore,fr,2.91,5986
drugstore,ja,3.01,10208
drugstore,zh,2.84,6067
electronics,2026-06-01,2.7,88
electronics,de,2.92,6965
electronics,en,2.89,6107
electronics,es,2.89,10309
electronics,fr,2.97,8116
electronics,ja,2.97,9795
electronics,zh,2.95,3051
furniture,2026-06-01,2.88,43
furniture,de,3.05,6233
furniture,en,2.97,2941
furniture,es,3.05,5198
furniture,fr,3.02,5348
furniture,ja,3.38,8
furniture,zh,2.0,3
grocery,2026-06-01,2.84,25
grocery,de,3.09,2689
grocery,en,2.81,4681
grocery,es,3.14,1036
grocery,fr,3.09,1355
grocery,ja,3.06,6368
grocery,zh,2.72,7410
home,2026-06-01,2.74,213
home,de,3.01,25657
